sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-02,2025-04-25T16:38:43.368965Z,65,733,48.5,20.6
lw-ms-ambi-01,2025-04-25T16:44:38.297070Z,67,324,56,17.8
lw-ms-ambi-03,2025-04-25T16:48:43.908298Z,71,404,55.5,18.1
lw-ms-ambi-02,2025-04-25T16:48:45.815599Z,65,761,48.5,20.6
lw-ms-ambi-01,2025-04-25T16:54:42.727505Z,67,321,56,17.8
lw-ms-ambi-03,2025-04-25T16:58:39.435622Z,71,410,55,18
lw-ms-ambi-02,2025-04-25T16:58:46.549608Z,65,764,48.5,20.6
lw-ms-ambi-01,2025-04-25T17:04:40.105352Z,67,316,56,17.8
lw-ms-ambi-03,2025-04-25T17:08:43.790064Z,71,402,55.5,18
lw-ms-ambi-02,2025-04-25T17:08:45.693171Z,65,813,49,20.6
lw-ms-ambi-01,2025-04-25T17:14:42.621218Z,67,319,56,17.8
lw-ms-ambi-03,2025-04-25T17:18:40.723371Z,71,416,55.5,18
lw-ms-ambi-02,2025-04-25T17:18:46.391643Z,65,804,49,20.6
lw-ms-ambi-01,2025-04-25T17:24:38.790989Z,67,305,56.5,17.8
lw-ms-ambi-03,2025-04-25T17:28:40.766876Z,71,403,55.5,18
lw-ms-ambi-01,2025-04-25T17:34:39.978883Z,67,307,56.5,17.8
lw-ms-ambi-03,2025-04-25T17:38:40.524744Z,71,393,55.5,18
lw-ms-ambi-02,2025-04-25T17:38:45.982893Z,65,805,49,20.6
lw-ms-ambi-01,2025-04-25T17:44:42.092812Z,67,317,56.5,17.7
lw-ms-ambi-03,2025-04-25T17:48:40.199917Z,71,398,55.5,18
lw-ms-ambi-02,2025-04-25T17:48:46.671124Z,65,781,49,20.6
lw-ms-ambi-01,2025-04-25T17:54:41.988350Z,67,315,56,17.7
lw-ms-ambi-03,2025-04-25T17:58:40.232076Z,71,401,56,18
lw-ms-ambi-02,2025-04-25T17:58:45.859155Z,65,783,49,20.6
lw-ms-ambi-01,2025-04-25T18:04:39.426529Z,67,317,56.5,17.7
lw-ms-ambi-03,2025-04-25T18:08:41.908075Z,71,408,56,17.9
lw-ms-ambi-02,2025-04-25T18:08:44.045935Z,65,785,49,20.6
lw-ms-ambi-01,2025-04-25T18:14:42.527588Z,67,319,56.5,17.7
lw-ms-ambi-03,2025-04-25T18:18:41.180208Z,71,411,56,17.9
lw-ms-ambi-02,2025-04-25T18:18:46.157344Z,65,786,49,20.5
lw-ms-ambi-01,2025-04-25T18:24:41.237225Z,67,330,57,17.7
lw-ms-ambi-03,2025-04-25T18:28:42.862864Z,71,405,56,17.9
lw-ms-ambi-02,2025-04-25T18:28:45.148304Z,65,773,49,20.5
lw-ms-ambi-01,2025-04-25T18:34:39.538408Z,67,311,57,17.7
lw-ms-ambi-03,2025-04-25T18:38:40.519861Z,71,410,56,17.9
lw-ms-ambi-02,2025-04-25T18:38:43.017718Z,65,779,49,20.5
lw-ms-ambi-01,2025-04-25T18:44:38.782856Z,67,306,57,17.7
lw-ms-ambi-03,2025-04-25T18:48:40.734101Z,71,404,56,17.9
lw-ms-ambi-02,2025-04-25T18:48:44.968445Z,65,778,49,20.5
lw-ms-ambi-01,2025-04-25T18:54:42.821398Z,67,313,56.5,17.7
lw-ms-ambi-03,2025-04-25T18:58:44.051123Z,71,402,55.5,17.9
lw-ms-ambi-02,2025-04-25T18:58:46.826374Z,65,774,49,20.5
lw-ms-ambi-01,2025-04-25T19:04:43.085779Z,67,318,56.5,17.7
lw-ms-ambi-03,2025-04-25T19:08:41.893371Z,71,414,55.5,17.8
lw-ms-ambi-02,2025-04-25T19:08:45.268967Z,65,759,49,20.5
lw-ms-ambi-01,2025-04-25T19:14:41.284039Z,67,324,56,17.6
lw-ms-ambi-02,2025-04-25T19:18:42.272220Z,65,773,49,20.4
lw-ms-ambi-03,2025-04-25T19:18:42.792611Z,71,412,55.5,17.8
