sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-02,2025-01-21T14:36:45.694666Z,74,676,55,18.3
lw-ms-ambi-03,2025-01-21T14:38:40.858595Z,77,479,56,15.8
lw-ms-ambi-01,2025-01-21T14:44:41.144541Z,73,689,55.5,17.7
lw-ms-ambi-02,2025-01-21T14:46:45.708711Z,74,691,55,18.3
lw-ms-ambi-03,2025-01-21T14:48:42.817972Z,77,487,56,15.9
lw-ms-ambi-01,2025-01-21T14:54:40.378621Z,73,742,55.5,17.8
lw-ms-ambi-02,2025-01-21T14:56:43.179687Z,74,710,55,18.3
lw-ms-ambi-03,2025-01-21T14:58:40.285352Z,77,484,56,15.9
lw-ms-ambi-01,2025-01-21T15:04:41.932293Z,73,773,55.5,17.8
lw-ms-ambi-02,2025-01-21T15:06:44.957407Z,74,722,55,18.4
lw-ms-ambi-03,2025-01-21T15:08:38.892164Z,77,473,56,16
lw-ms-ambi-01,2025-01-21T15:14:39.596116Z,73,840,55.5,17.8
lw-ms-ambi-02,2025-01-21T15:16:46.209847Z,74,758,55.5,18.4
lw-ms-ambi-03,2025-01-21T15:18:40.802904Z,77,465,56,16
lw-ms-ambi-01,2025-01-21T15:24:40.800289Z,73,884,56,17.8
lw-ms-ambi-02,2025-01-21T15:26:43.525105Z,74,768,55.5,18.5
lw-ms-ambi-03,2025-01-21T15:28:39.920803Z,77,465,56,16
lw-ms-ambi-01,2025-01-21T15:34:38.353076Z,73,950,56,17.9
lw-ms-ambi-02,2025-01-21T15:36:46.016129Z,74,796,56,18.5
lw-ms-ambi-03,2025-01-21T15:38:40.359525Z,77,458,55.5,16
lw-ms-ambi-02,2025-01-21T15:46:46.047691Z,74,800,56,18.5
lw-ms-ambi-01,2025-01-21T15:54:41.621526Z,73,1022,56.5,17.9
lw-ms-ambi-02,2025-01-21T15:56:45.199138Z,74,823,56,18.5
lw-ms-ambi-03,2025-01-21T15:58:42.982669Z,77,442,55.5,16.1
lw-ms-ambi-01,2025-01-21T16:04:39.934712Z,73,1059,56.5,17.9
lw-ms-ambi-02,2025-01-21T16:06:45.805189Z,74,848,56,18.6
lw-ms-ambi-03,2025-01-21T16:08:40.638133Z,77,454,55.5,16.1
lw-ms-ambi-01,2025-01-21T16:14:37.649811Z,73,1023,55.5,17.8
lw-ms-ambi-02,2025-01-21T16:16:43.288638Z,74,881,56.5,18.6
lw-ms-ambi-03,2025-01-21T16:18:38.400406Z,77,439,55,16
lw-ms-ambi-01,2025-01-21T16:24:40.106886Z,73,1009,56,17.7
lw-ms-ambi-02,2025-01-21T16:26:44.223611Z,74,857,56.5,18.6
lw-ms-ambi-03,2025-01-21T16:28:42.793140Z,77,449,55.5,16
lw-ms-ambi-01,2025-01-21T16:34:38.331365Z,73,974,56,17.7
lw-ms-ambi-02,2025-01-21T16:36:43.383523Z,74,846,57,18.6
lw-ms-ambi-03,2025-01-21T16:38:41.624878Z,77,453,55.5,16.1
lw-ms-ambi-01,2025-01-21T16:44:39.276800Z,73,964,55.5,17.6
lw-ms-ambi-02,2025-01-21T16:46:43.669507Z,74,844,57,18.6
lw-ms-ambi-03,2025-01-21T16:48:41.436833Z,77,440,55.5,16.1
lw-ms-ambi-01,2025-01-21T16:54:39.144544Z,73,934,55.5,17.6
lw-ms-ambi-02,2025-01-21T16:56:46.379439Z,74,826,57,18.6
lw-ms-ambi-03,2025-01-21T16:58:38.778220Z,77,436,55.5,16.1
lw-ms-ambi-01,2025-01-21T17:04:41.339677Z,73,929,55.5,17.6
lw-ms-ambi-02,2025-01-21T17:06:44.460793Z,74,832,57,18.6
lw-ms-ambi-03,2025-01-21T17:08:38.710720Z,77,440,55.5,16.1
lw-ms-ambi-01,2025-01-21T17:14:39.068605Z,73,936,55.5,17.5
lw-ms-ambi-02,2025-01-21T17:16:44.088092Z,74,808,56.5,18.6
lw-ms-ambi-03,2025-01-21T17:18:41.240164Z,77,438,55.5,16.1
lw-ms-ambi-01,2025-01-21T17:24:42.103095Z,73,898,55.5,17.5
lw-ms-ambi-02,2025-01-21T17:26:44.885207Z,74,807,56.5,18.6
lw-ms-ambi-03,2025-01-21T17:28:40.629078Z,77,434,55.5,16.1
lw-ms-ambi-01,2025-01-21T17:34:38.301149Z,73,883,55,17.5
lw-ms-ambi-02,2025-01-21T17:36:49.196863Z,74,810,56.5,18.6
lw-ms-ambi-03,2025-01-21T17:38:41.800122Z,77,427,55.5,16.1
lw-ms-ambi-01,2025-01-21T17:44:39.577450Z,73,863,55,17.4
lw-ms-ambi-02,2025-01-21T17:46:46.075542Z,74,807,56.5,18.6
lw-ms-ambi-03,2025-01-21T17:48:41.611142Z,77,448,55.5,16.1
lw-ms-ambi-01,2025-01-21T17:54:41.723381Z,73,859,55,17.4
lw-ms-ambi-02,2025-01-21T17:56:43.889077Z,74,804,56.5,18.6
